2007-2016年全国各地区用水总量（亿立方米）,,,,,,,,,,,,
地区,地带,经济区域,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,东部,北部沿海,38.8,38.2,37.49,36.38,35.88,35.96,35.2,35.5,35.08,34.81
天津市,东部,北部沿海,27.2,25.7,24.09,23.76,23.13,23.09,22.49,23.37,22.33,23.37
河北省,东部,北部沿海,182.6,187.2,192.82,-191.29,195.33,195.97,193.68,193.72,195.02,202.5
山东省,东部,北部沿海,214,212.8,214.52,217.95,221.79,224.04,222.47,-219.99,219.89,219.55
西藏自治区,西部,大西北地区,31.1,30.8,30.47,30.31,29.81,30.96,35.2,30.85,37.53,36.7
甘肃省,西部,大西北地区,118.4,119.2,120.57,121.99,123.07,122.89,121.82,120.63,122.17,122.5
山东省,东部,北部沿海,214,212.8,214.52,217.95,221.79,224.04,222.47,-219.99,219.89,219.55
青海省,西部,大西北地区,26.4,26.8,26.34,28.2,27.41,31.15,30.77,28.76,34.36,31.11
宁夏回族自治区,西部,大西北地区,64.9,70.4,70.31,72.13,69.35,73.61,72.37,72.23,74.18,71
新疆维吾尔自治区,西部,大西北地区,565.4,577.2,581.82,588.04,590.14,523.5,535.08,530.9,528.22,517.74
辽宁省,东部,东北地区,135.4,140.8,141.77,142.13,142.23,144.53,143.67,142.79,142.78,142.87
吉林省,中部,东北地区,132.5,133.6,132.98,131.48,129.82,131.24,120.04,111.09,104.08,100.78
黑龙江省,中部,东北地区,352.6,355.3,364.13,362.3,358.9,352.36,325,316.25,297.01,291.37
上海市,东部,东部沿海,104.8,103.8,105.92,123.21,115.98,124.5,126.29,125.2,119.77,120.19
江苏省,东部,东部沿海,577.4,574.5,591.29,576.69,552.24,556.17,552.19,549.23,558.32,558.34
浙江省,东部,东部沿海,181.1,186.1,192.87,198.33,198.12,198.54,203.04,197.76,216.62,210.98
山西省,中部,黄河中游,75.5,73.6,71.37,73.77,73.39,74.18,63.78,56.27,56.92,58.74
上海市,东部,东部沿海,104.8,103.8,105.92,123.21,115.98,124.5,126.29,125.2,119.77,120.19
河南省,中部,黄河中游,227.6,222.8,209.28,240.57,238.61,229.05,224.61,233.71,227.53,209.28
内蒙古自治区,西部,黄河中游,190.3,185.8,182.01,183.22,184.35,184.7,181.9,181.25,175.78,180.04
陕西省,西部,黄河中游,90.8,91.2,89.81,89.21,88.04,87.76,83.4,84.34,85.46,81.55
福建省,东部,南部沿海,189.1,201.3,205.63,204.83,200.08,208.82,202.45,201.44,198.04,196.28
广东省,东部,南部沿海,435,443.1,442.54,443.16,451.02,464.22,469.01,463.41,461.53,462.51
海南省,东部,南部沿海,46.69,45.8,45.02,43.16,45.33,44.48,44.35,44.46,46.89,46.69
湖南省,中部,长江中游,330.4,330.4,332.41,332.49,328.8,326.47,325.17,322.33,323.62,324.26
广西壮族自治区,西部,西南地区,290.6,299.3,307.6,308.16,303.01,301.81,301.58,303.36,310.1,310.41
重庆市,西部,西南地区,77.5,79,80.47,83.9,82.94,86.82,86.39,85.3,82.77,77.43
四川省,西部,西南地区,267.3,265.5,236.87,242.47,245.92,233.47,230.27,223.46,207.63,213.98
贵州省,西部,西南地区,100.3,97.5,95.31,92,100.82,95.93,101.45,100.38,101.89,98.03
云南省,西部,西南地区,150.2,150.1,149.41,149.71,151.83,146.79,147.47,152.64,153.14,150.03
安徽省,中部,长江中游,290.7,288.7,272.09,296.02,292.64,294.63,293.12,291.86,266.36,232.05
江西省,中部,长江中游,245.4,245.8,259.3,264.81,242.54,262.86,239.75,241.25,234.21,234.87
湖北省,中部,长江中游,282,301.3,288.34,291.8,299.29,296.7,287.99,281.41,270.71,258.73
湖南省,中部,长江中游,330.4,330.4,332.41,332.49,328.8,326.47,325.17,322.33,323.62,324.26
